python3 train.py
Ordinary Least Squares Calculated thetas: theta_0 (intercept) = 8499.599649933216, theta_1 (slope) = -0.021448963591702303
Iteration 104: slope = 0.05091663561837462, intercept_y = 0.4883797604868917, y_pred = 0.01
Iteration 105: slope = 0.05022984503501088, intercept_y = 0.4898002507382688, y_pred = 0.01
Iteration 106: slope = 0.04953555041631773, intercept_y = 0.4911972213032609, y_pred = 0.01
Iteration 107: slope = 0.048833945263525635, intercept_y = 0.49257119803815513, y_pred = 0.01
Iteration 108: slope = 0.04812521865715466, intercept_y = 0.49392269485613616, y_pred = 0.01
Iteration 109: slope = 0.04740955535751171, intercept_y = 0.49525221399872177, y_pred = 0.01
Iteration 110: slope = 0.046687135902903555, intercept_y = 0.49656024630103, y_pred = 0.01
Iteration 111: slope = 0.045958136705617755, intercept_y = 0.49784727145101704, y_pred = 0.01
Iteration 112: slope = 0.04522273014572195, intercept_y = 0.49911375824282295, y_pred = 0.01
Iteration 113: slope = 0.04448108466273136, intercept_y = 0.5003601648243595, y_pred = 0.01
Iteration 114: slope = 0.04373336484519275, intercept_y = 0.501586938939271, y_pred = 0.01
Iteration 115: slope = 0.04297973151823236, intercept_y = 0.5027945181633952, y_pred = 0.01
Iteration 116: slope = 0.04222034182911394, intercept_y = 0.5039833301358503, y_pred = 0.01
Iteration 117: slope = 0.04145534933085224, intercept_y = 0.5051537927848703, y_pred = 0.01
Iteration 118: slope = 0.04068490406392609, intercept_y = 0.5063063145485062, y_pred = 0.01
Iteration 119: slope = 0.039909152636134246, intercept_y = 0.5074412945903124, y_pred = 0.01
Iteration 120: slope = 0.039128238300636255, intercept_y = 0.5085591230101303, y_pred = 0.01
Iteration 121: slope = 0.03834230103221956, intercept_y = 0.509660181050081, y_pred = 0.01
Iteration 122: slope = 0.037551477601833215, intercept_y = 0.5107448412958769, y_pred = 0.01
Iteration 123: slope = 0.036755901649427485, intercept_y = 0.5118134678735573, y_pred = 0.01
Iteration 124: slope = 0.03595570375513799, intercept_y = 0.5128664166417525, y_pred = 0.01
Iteration 125: slope = 0.03515101150885192, intercept_y = 0.5139040353795785, y_pred = 0.01
Iteration 126: slope = 0.03434194957819307, intercept_y = 0.5149266639702612, y_pred = 0.01
Iteration 127: slope = 0.03352863977496176, intercept_y = 0.5159346345805866, y_pred = 0.01
Iteration 128: slope = 0.0327112011200646, intercept_y = 0.5169282718362732, y_pred = 0.01
Iteration 129: slope = 0.03188974990696856, intercept_y = 0.5179078929933577, y_pred = 0.01
Iteration 130: slope = 0.031064399763712766, intercept_y = 0.5188738081056863, y_pred = 0.01
